rescue_rank,original_sweep_rank,package,version,class_name,previous_classification,rescue_classification,output_diff,branch_flip,state_diff,fixture_description,operation_A,operation_B,failure_reason,boundary_note,harness_path,json_output_path
1,1,markdown,3.10.2,Markdown,structural_only_no_runtime_difference,confirmed_output_divergence,True,False,True,"Two real Markdown strings on one Markdown instance, output_format='html'.",convert('[alpha][]'),convert('[alpha]: https://example.invalid') first; then convert('[alpha][]'),,"The Python-Markdown docs explicitly say reset() should be called between convert() calls; count this as stateful reuse behavior, not a package bug.",C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_01_markdown_Markdown.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_01_markdown_Markdown.json
2,2,more-itertools,11.0.2,seekable,could_not_construct,confirmed_output_divergence,True,False,True,"seekable over iter(['a', 'b', 'c']).","next(seekable(iter(['a','b','c'])))",next(it) first; then next(it),,Iterator consumption is expected behavior; the rescue shows the generic no-arg harness missed a real cursor effect.,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_02_more_itertools_seekable.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_02_more_itertools_seekable.json
3,3,pygments,2.20.0,EscapeSequence,structural_only_no_runtime_difference,structural_only_no_runtime_difference,False,False,False,EscapeSequence(fg='ansired') using Pygments terminal formatter internals.,reset_string() on EscapeSequence(fg='ansired'),color_string() first; then reset_string(),,In this Pygments version the ANSI fixture did not trigger the suspected bold mutation; the case remains structural-only.,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_03_pygments_EscapeSequence.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_03_pygments_EscapeSequence.json
4,4,docutils,0.22.4,Transformer,could_not_construct,confirmed_state_divergence_only,False,False,True,docutils new_document with two tiny Transform subclasses.,inspect transform priority queue,get_priority_string(10) first; then inspect transform priority queue,,"The manual fixture tests Transformer serial bookkeeping, not transform application output.",C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_04_docutils_Transformer.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_04_docutils_Transformer.json
5,5,soupsieve,2.8.3,CSSMatch,import_failed,structural_only_no_runtime_difference,False,False,False,BeautifulSoup tree and soupsieve compiled selector 'p.a'.,list(CSSMatch(...).select()),match(first p) first; then list(CSSMatch(...).select()),,The rescue only fixes sys.path/import construction; simple selector matching remained output-equivalent.,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_05_soupsieve_CSSMatch.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_05_soupsieve_CSSMatch.json
6,11,beautifulsoup4,4.14.3,PageElement,structural_only_no_runtime_difference,confirmed_output_divergence,True,False,True,"BeautifulSoup('<p>a</p><p>b</p>', 'html.parser'); Tag is a PageElement subclass.",str(soup),first <p>.extract() first; then str(soup),,BeautifulSoup extraction is intentionally destructive; use only as a tree-mutation/access-order example.,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_06_beautifulsoup4_PageElement.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_06_beautifulsoup4_PageElement.json
7,12,boltons,25.0.0,LRI,structural_only_no_runtime_difference,confirmed_state_divergence_only,False,False,True,"LRI(max_size=2) with keys a, b, c.","insert c after initializing LRI with a,b",__getitem__('a') first; then insert c,,LRI access affects statistics but not eviction order in this fixture.,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_07_boltons_LRI.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_07_boltons_LRI.json
8,13,boltons,25.0.0,LRU,structural_only_no_runtime_difference,confirmed_output_divergence,True,False,True,"LRU(max_size=2) with keys a, b, c.","insert c after initializing LRU with a,b",__getitem__('a') first; then insert c,,"LRU access affects eviction order as designed; it is evidence of consequential access state, not a defect.",C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_08_boltons_LRU.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_08_boltons_LRU.json
9,14,boltons,25.0.0,MultiFileReader,structural_only_no_runtime_difference,confirmed_output_divergence,True,False,True,"MultiFileReader(BytesIO(b'ab'), BytesIO(b'cd'), BytesIO(b'e')).",read(3),read(3) first; then read(3),,MultiFileReader is a stream-like cursor; output divergence is expected after a prior read.,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_09_boltons_MultiFileReader.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_09_boltons_MultiFileReader.json
10,16,cerberus,1.3.8,BareValidator,structural_only_no_runtime_difference,confirmed_output_divergence,True,False,True,"Public cerberus.Validator subclass with schema {'name': {'type': 'string', 'minlength': 3}}.",read validator.errors,validate({'name': 'Al'}) first; then read validator.errors,,BareValidator itself rejects schema-backed validation; the runnable fixture uses the public Validator subclass to exercise inherited BareValidator state.,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_10_cerberus_BareValidator.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_10_cerberus_BareValidator.json
11,17,click-option-group,0.5.9,_OptGroup,structural_only_no_runtime_difference,structural_only_no_runtime_difference,False,False,False,Tiny Click command using click-option-group public optgroup helpers and CliRunner.,build command with grouped option and invoke --foo x,call group decorator on a function first; then build and invoke command,,The decorator fixture is tiny and in-process; it did not produce a meaningful runtime divergence.,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_11_click_option_group_OptGroup.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_11_click_option_group_OptGroup.json
12,18,dnspython,2.8.0,BTree,structural_only_no_runtime_difference,structural_only_no_runtime_difference,False,False,False,"BTree populated with dns.btree.KV('a','A') and KV('b','B').",get_element('b'),get_element('a') first; then get_element('b'),,BTree lookup is stable under this minimal fixture; cursor/copy-on-write behavior was not forced.,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_12_dnspython_BTree.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_12_dnspython_BTree.json
13,22,dnspython,2.8.0,Tokenizer,confirmed_state_divergence_only,confirmed_output_divergence,True,False,True,dns.tokenizer.Tokenizer over io.StringIO('alpha beta\n').,get_string(),get() first; then get_string(),,Tokenizer is a cursor over token input; output divergence is expected after consuming a token.,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_13_dnspython_Tokenizer.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_13_dnspython_Tokenizer.json
14,49,h11,0.16.0,ChunkedReader,structural_only_no_runtime_difference,confirmed_output_divergence,True,False,True,h11 ReceiveBuffer containing a complete chunked body b'3\r\nabc\r\n0\r\n\r\n'.,ChunkedReader()(buffer),ChunkedReader()(buffer) first; then ChunkedReader()(buffer),,ChunkedReader consumes a ReceiveBuffer; Data versus EndOfMessage is expected stream-reader state.,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_14_h11_ChunkedReader.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_14_h11_ChunkedReader.json
15,50,h11,0.16.0,ReceiveBuffer,structural_only_no_runtime_difference,confirmed_output_divergence,True,False,False,ReceiveBuffer containing HTTP-like header bytes.,maybe_extract_lines(),maybe_extract_next_line() first; then maybe_extract_lines(),,ReceiveBuffer line extraction is destructive by design; it is a cursor semantics example.,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\harnesses\rescue_15_h11_ReceiveBuffer.py,C:\Users\Asus\Desktop\Profitlo Projects\Hiesenoether\paper_artifacts\scp_behavioral_sweep_rescue\outputs\rescue_15_h11_ReceiveBuffer.json
