package,file,class,analyzer_label,manual_review_label,reason,reviewer_note
attrs,attrs-26.1.0\src\attr\_make.py,_ClassBuilder,MEDIUM,likely false positive,P1_access_sensitive,fluent class-builder mutator returns self; not an access/read path
attrs,attrs-26.1.0\src\attr\_make.py,_CountingAttr,MEDIUM,likely false positive,P1_access_sensitive,decorator registration mutates validator list and returns the decorated method
click,click-8.4.0\src\click\_termui_impl.py,ProgressBar,MEDIUM,likely false positive,P1_access_sensitive,context-manager entry flag returns self; no access-derived value
click,click-8.4.0\src\click\core.py,Context,MEDIUM,likely false positive,P1_access_sensitive,context-manager depth tracking returns self; no access-derived value
click,click-8.4.0\src\click\core.py,Command,MEDIUM,likely false positive,P1_access_sensitive,lazy help-option cache; repeated access returns the same semantic option
click,click-8.4.0\src\click\core.py,Group,MEDIUM,likely false positive,P1_access_sensitive,"callback registration decorator, not an access/read path"
click,click-8.4.0\src\click\utils.py,LazyFile,MEDIUM,likely false positive,P1_access_sensitive,lazy file-open cache; repeated access returns the cached handle
pendulum,pendulum\duration.py,Duration,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pendulum,pendulum\duration.py,AbsoluteDuration,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
cachetools,cachetools-7.1.3\src\cachetools\__init__.py,_Timer,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
cachetools,cachetools-7.1.3\src\cachetools\__init__.py,TLRUCache,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
cachetools,cachetools-7.1.3\src\cachetools\_cachedmethod.py,Wrapper,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
cachetools,cachetools-7.1.3\src\cachetools\_cachedmethod.py,Wrapper,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
cachetools,cachetools-7.1.3\src\cachetools\_cachedmethod.py,Wrapper,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
cachetools,cachetools-7.1.3\src\cachetools\keys.py,_HashedTuple,MEDIUM,likely false positive,P1_access_sensitive,memoized hash cache; semantic hash value is stable
sortedcontainers,sortedcontainers-2.4.0\sortedcontainers\sorteddict.py,SortedDict,MEDIUM,likely false positive,P1_access_sensitive,deprecated cached view property; semantic view is stable
boltons,boltons-25.0.0\boltons\cacheutils.py,LRI,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
boltons,boltons-25.0.0\boltons\cacheutils.py,LRU,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
boltons,boltons-25.0.0\boltons\cacheutils.py,CachedFunction,MEDIUM,likely false positive,P1_access_sensitive,constructor/local closure pattern; not an access/read path
boltons,boltons-25.0.0\boltons\cacheutils.py,CachedMethod,MEDIUM,likely false positive,P1_access_sensitive,constructor/local closure pattern; not an access/read path
boltons,boltons-25.0.0\boltons\deprutils.py,DeprecatableModule,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
boltons,boltons-25.0.0\boltons\dictutils.py,FrozenDict,MEDIUM,likely false positive,P1_access_sensitive,memoized hash cache; semantic hash value is stable
boltons,boltons-25.0.0\boltons\excutils.py,_DeferredLine,MEDIUM,likely false positive,P1_access_sensitive,memoized string cache; repeated access returns the same line
boltons,boltons-25.0.0\boltons\formatutils.py,DeferredValue,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
boltons,boltons-25.0.0\boltons\funcutils.py,CachedInstancePartial,MEDIUM,likely false positive,P1_access_sensitive,"descriptor metadata initialization, not access-derived semantics"
boltons,boltons-25.0.0\boltons\ioutils.py,SpooledBytesIO,MEDIUM,likely false positive,P1_access_sensitive,lazy backing-buffer allocation; repeated access returns same buffer
boltons,boltons-25.0.0\boltons\ioutils.py,SpooledStringIO,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
boltons,boltons-25.0.0\boltons\ioutils.py,MultiFileReader,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
boltons,boltons-25.0.0\boltons\setutils.py,_ComplementSet,MEDIUM,likely false positive,P1_access_sensitive,in-place set update returning self; not an access/read path
boltons,boltons-25.0.0\boltons\socketutils.py,BufferedSocket,HIGH,likely true positive,P1_access_sensitive; P2_observation_mutates,source review found state mutation on a method/property/call path that returns a value or access handle
boltons,boltons-25.0.0\boltons\tbutils.py,_DeferredLine,MEDIUM,likely false positive,P1_access_sensitive,memoized string cache; repeated access returns the same line
more-itertools,more_itertools-11.0.2\more_itertools\more.py,seekable,HIGH,likely true positive,P1_access_sensitive; P2_observation_mutates,source review found state mutation on a method/property/call path that returns a value or access handle
