rescue_rank,original_sweep_rank,package,version,class_name,file_path,previous_classification,previous_failure_reason,selection_reason,suspected_operation_A,suspected_operation_B,suspected_latent_state,suspected_later_behavior,expected_fixture_needed
1,1,markdown,3.10.2,Markdown,markdown-3.10.2\markdown\core.py,structural_only_no_runtime_difference,,Manual packet and source docs show Markdown.convert accumulates references unless reset is called; the generic build_parser repetition did not exercise conversion state.,convert('[alpha][]'),convert('[alpha]: https://example.invalid') before convert('[alpha][]'),references/htmlStash parser state,HTML conversion of a reference-style link,Real Markdown strings and a single Markdown instance.
2,2,more-itertools,11.0.2,seekable,more-itertools-11.0.2\more_itertools\more.py,could_not_construct,constructor requires arguments: iterable,Docstring gives an exact iterator fixture and describes progressive caching and seeking.,next(it),next(it) before next(it),_index/cache position,Next item yielded by the iterator,"iter(['a', 'b', 'c'])"
3,3,pygments,2.20.0,EscapeSequence,pygments-2.20.0\pygments\formatters\terminal256.py,structural_only_no_runtime_difference,,Source contains an apparent state write inside color_string; a fixture with an ANSI foreground checks whether it is observable in the current package version.,reset_string(),color_string() before reset_string(),bold flag,ANSI reset escape string,EscapeSequence(fg='ansired')
4,4,docutils,0.22.4,Transformer,docutils-0.22.4\docutils\transforms\__init__.py,could_not_construct,constructor requires arguments: document,Source constructor only needs a document; docutils utilities can build an in-memory document without external files.,inspect transform priority strings,get_priority_string() before inspecting transform priority strings,serialno/sorted transform bookkeeping,Transform queue priority strings and serial counter,docutils.utils.new_document plus two tiny Transform subclasses.
5,5,soupsieve,2.8.3,CSSMatch,soupsieve-2.8.3\soupsieve\css_match.py,import_failed,import_failed: ModuleNotFoundError: No module named 'bs4',"The missing bs4 dependency is present in the rebuilt snapshot, so the import failure can be rescued by adding snapshot paths.",select(),match() before select(),cached_meta_lang/cached_default_forms/namespaces,Selected BeautifulSoup tags,BeautifulSoup document and soupsieve compiled selector.
6,11,beautifulsoup4,4.14.3,PageElement,beautifulsoup4-4.14.3\bs4\element.py,structural_only_no_runtime_difference,,Generic harness constructed the abstract base directly; a real soup tag is a PageElement subclass and exercises extract() realistically.,str(soup),first_p.extract() before str(soup),parent/sibling/tree links,Serialized parse tree,"BeautifulSoup('<p>a</p><p>b</p>', 'html.parser')"
7,12,boltons,25.0.0,LRI,boltons-25.0.0\boltons\cacheutils.py,structural_only_no_runtime_difference,,Docstring has a small cache fixture and counters; manual harness can distinguish value output from statistics-only effects.,"insert c after initializing a,b",__getitem__('a') before inserting c,hit_count/miss_count/linked list,Cache contents and statistics after eviction,LRI(max_size=2) with two string keys.
8,13,boltons,25.0.0,LRU,boltons-25.0.0\boltons\cacheutils.py,structural_only_no_runtime_difference,,LRU access is expected to affect recency and eviction; the generic no-arg cache had no meaningful keys.,"insert c after initializing a,b",__getitem__('a') before inserting c,linked-list recency order,Which key survives eviction,LRU(max_size=2) with two string keys.
9,14,boltons,25.0.0,MultiFileReader,boltons-25.0.0\boltons\ioutils.py,structural_only_no_runtime_difference,,Docstring provides an exact BytesIO fixture; old harness used an empty reader.,read(3),read(3) before read(3),_index and underlying file positions,Bytes returned by later read,"BytesIO(b'ab'), BytesIO(b'cd'), BytesIO(b'e')"
10,16,cerberus,1.3.8,BareValidator,cerberus-1.3.8\cerberus\validator.py,structural_only_no_runtime_difference,,Validation has a clear small schema/document fixture; BareValidator itself needs the public Validator subclass to run schema-backed behavior.,read errors,validate(invalid document) before reading errors,_errors/document_error_tree,Validator errors output,"cerberus.Validator with a small schema, noted as subclass coverage of BareValidator behavior."
11,17,click-option-group,0.5.9,_OptGroup,click-option-group-0.5.9\src\click_option_group\_decorators.py,structural_only_no_runtime_difference,,Decorator registration can be tested with a tiny click command without invoking external services.,build and invoke command,group decorator call before building and invoking command,_decorating_state/_not_attached_options,Click command options and invocation output,Tiny in-process click command and CliRunner.
12,18,dnspython,2.8.0,BTree,dnspython-2.8.0\dns\btree.py,structural_only_no_runtime_difference,,In-memory BTree can be populated with package KV elements; no external DNS/network fixture is needed.,get_element('b'),get_element('a') before get_element('b'),cursor/root/copy-on-write bookkeeping,Element returned by lookup,BTree plus dns.btree.KV elements.
13,22,dnspython,2.8.0,Tokenizer,dnspython-2.8.0\dns\tokenizer.py,confirmed_state_divergence_only,,Prompt explicitly flagged it; a real token input can test whether the previous state-only result becomes visible output.,get_string(),get() before get_string(),file cursor/ungotten_token/eof/line_number,Next token string,io.StringIO('alpha beta\n')
14,49,h11,0.16.0,ChunkedReader,h11-0.16.0\h11\_readers.py,structural_only_no_runtime_difference,,A minimal in-memory chunked body exercises reader state and ReceiveBuffer interaction.,reader(buf),reader(buf) before reader(buf),_bytes_in_chunk/_bytes_to_discard/_reading_trailer,Data versus EndOfMessage return,ReceiveBuffer with b'3\r\nabc\r\n0\r\n\r\n'.
15,50,h11,0.16.0,ReceiveBuffer,h11-0.16.0\h11\_receivebuffer.py,structural_only_no_runtime_difference,,"ReceiveBuffer has a small in-memory byte fixture and line extraction state, avoiding sockets or server setup.",maybe_extract_lines(),maybe_extract_next_line() before maybe_extract_lines(),_data/_next_line_search/_multiple_lines_search,Parsed header lines and remaining buffer,HTTP-like bytes in ReceiveBuffer.
