candidate_id,source_artifact,package_name,package_version,module_path,class_name,observation_operation,target_read_operation,state_fields_suspected,construction_hint,fixture_family,expected_boundary,priority,selected_for_harness
rc01_httpcore_Response,real_case_results.csv,httpcore,1.0.9,httpcore/_models.py,Response,response.read(),response.content,_content;_stream_consumed,"httpcore.Response(200, content=[b'alpha', b'beta'])",http_response,read() materializes _content; content flips RuntimeError->value,1,yes
rc02_PyYAML_SafeRepresenter,real_case_results.csv,PyYAML,6.0.3,yaml/representer.py,SafeRepresenter,represent_data(list) first,represent_data(list),represented_objects;object_keeper,SafeRepresenter(); mutable list payload,yaml_or_repr,identity cache returns stale node for mutated object,1,yes
rc03_pytest_catching_logs,real_case_results.csv,pytest,8.3.5,_pytest/logging.py,catching_logs,enter/exit catching_logs(level=ERROR),emit WARNING; read messages,handler.level,LogCaptureHandler + logging.getLogger,logging_handler,handler level mutation filters later WARNING,1,yes
rc04_rich_RichHandler,real_case_results.csv,rich,15.0.0,rich/logging.py,RichHandler,render_message(),handler.keywords,keywords,RichHandler() (rich NOT available -> import_failed),logging_handler,first render initializes keyword highlighter,1,yes
re01_markdown_Markdown,rescue_results.csv,markdown,3.10.2,markdown/core.py,Markdown,convert link-def first,convert('[alpha][]'),references,Markdown(output_format='html'),string_text,reference registry from prior convert changes later render,1,yes
re02_more_itertools_seekable,rescue_results.csv,more-itertools,11.0.2,more_itertools/more.py,seekable,next(it),next(it),_index;_cache,"seekable(iter(['a','b','c']))",iterator,cursor advance changes later next(),1,yes
re03_pygments_EscapeSequence,rescue_results.csv,pygments,2.20.0,pygments/formatters/terminal256.py,EscapeSequence,color_string(),reset_string(),fg;bg;bold,EscapeSequence(fg='ansired'),yaml_or_repr,suspected bold mutation (not triggered),2,yes
re04_docutils_Transformer,rescue_results.csv,docutils,0.22.4,docutils/transforms/__init__.py,Transformer,get_priority_string(10),inspect transform priority queue,serialno;sorted,new_document + 2 Transforms,unknown,serial bookkeeping advances on priority string,2,yes
re05_soupsieve_CSSMatch,rescue_results.csv,soupsieve,2.8.3,soupsieve/css_match.py,CSSMatch,match(first p),list(select()),cached_meta_lang,bs4 tree + compiled 'p.a',tree_or_html,selector caches (not triggered by simple selector),2,yes
re06_beautifulsoup4_PageElement,rescue_results.csv,beautifulsoup4,4.14.3,bs4/element.py,PageElement,first <p>.extract(),str(soup),tree children,BeautifulSoup('<p>a</p><p>b</p>'),tree_or_html,extract() destructively mutates tree,1,yes
re07_boltons_LRI,rescue_results.csv,boltons,25.0.0,boltons/cacheutils.py,LRI,__getitem__('a'),insert c; then items(),hit_count;miss_count,LRI(max_size=2),cache,access affects stats but not eviction order,2,yes
re08_boltons_LRU,rescue_results.csv,boltons,25.0.0,boltons/cacheutils.py,LRU,__getitem__('a'),insert c; then items(),recency order,LRU(max_size=2),cache,access reorders recency -> changes eviction,1,yes
re09_boltons_MultiFileReader,rescue_results.csv,boltons,25.0.0,boltons/ioutils.py,MultiFileReader,read(3),read(3),_index,MultiFileReader(BytesIO x3),io_bytes,stream cursor advances,1,yes
re10_cerberus_Validator,rescue_results.csv,cerberus,1.3.8,cerberus/validator.py,BareValidator,validate({'name':'Al'}),validator.errors,document;_errors,Validator(schema),list_or_dict,validate populates errors read later,1,yes
re11_dnspython_Tokenizer,rescue_results.csv,dnspython,2.8.0,dns/tokenizer.py,Tokenizer,get(),get_string(),current;eof,Tokenizer(StringIO('alpha beta')),parser_tokenizer,token consumption advances cursor,1,yes
re12_h11_ChunkedReader,rescue_results.csv,h11,0.16.0,h11/_readers.py,ChunkedReader,ChunkedReader()(buffer),ChunkedReader()(buffer),buffer;bytes_to_discard,ReceiveBuffer chunked body,buffer,Data vs EndOfMessage after consuming chunk,1,yes
re13_h11_ReceiveBuffer,rescue_results.csv,h11,0.16.0,h11/_receivebuffer.py,ReceiveBuffer,maybe_extract_next_line(),maybe_extract_lines(),data;next_line_search,ReceiveBuffer(header bytes),buffer,line extraction is destructive,1,yes
re14_dnspython_BTree,rescue_results.csv,dnspython,2.8.0,dns/btree.py,BTree,get_element('a'),get_element('b'),cursors;size,"BTree + KV a,b",unknown,lookup stable under minimal fixture,3,yes
re15_click_option_group_OptGroup,rescue_results.csv,click-option-group,0.5.9,src/click_option_group/_decorators.py,_OptGroup,call group decorator,build+invoke command,decorators registry,optgroup + CliRunner,unknown,"in-process decorator, no runtime divergence",3,yes
bs09_anyio_BlockingPortalProvider,behavioral_sweep_results.csv,anyio,4.13.0,anyio/from_thread.py,BlockingPortalProvider,__enter__(),read _leases,_leases;_portal,BlockingPortalProvider(),unknown,enter mutates lease counter (state-only),2,yes
bs06_anyio_CancelScope,behavioral_sweep_results.csv,anyio,4.13.0,anyio/_core/_tasks.py,CancelScope,no-op observation,read cancel_called,cancel_called,CancelScope(),unknown,no observation boundary at construction,3,yes
bs15_boltons_SpooledStringIO,behavioral_sweep_results.csv,boltons,25.0.0,boltons/ioutils.py,SpooledStringIO,read(3),read(3),buffer position,SpooledStringIO()+write,io_bytes,text cursor advances,2,yes
bs23_docutils_Publisher,behavioral_sweep_results.csv,docutils,0.22.4,docutils/core.py,Publisher,get_settings(),read .settings,settings,Publisher(),unknown,get_settings caches settings (state-only),2,yes
bs44_docutils_ViewList,behavioral_sweep_results.csv,docutils,0.22.4,docutils/statemachine.py,ViewList,len(view),list(view),data;items,"ViewList(['a','b'])",list_or_dict,"pure read, no divergence expected",3,yes
bs43_docutils_Reader,behavioral_sweep_results.csv,docutils,0.22.4,docutils/readers/__init__.py,Reader,no-op observation,read .parser,parser;source,Reader(),unknown,no construction-time boundary,3,yes
