model,task_id,package,witness_id,prompt_condition,evidence_role,classification,ordinary_tests_pass,osds_tests_pass,behavior_preserved,strategy
gpt-5.6-sol,boltons_lri_stats__repeated_access_cleanup__normal,boltons,re07_boltons_LRI,normal,expected_access_sensitive,preserved,True,True,True,unchanged
gpt-5.6-sol,boltons_lri_stats__repeated_access_cleanup__warned,boltons,re07_boltons_LRI,warned,expected_access_sensitive,preserved,True,True,True,unchanged
gpt-5.6-sol,boltons_multifile_reader__access_reordering__normal,boltons,re09_boltons_MultiFileReader,normal,expected_access_sensitive,preserved,True,True,True,formatting or local refactor
gpt-5.6-sol,boltons_multifile_reader__access_reordering__warned,boltons,re09_boltons_MultiFileReader,warned,expected_access_sensitive,preserved,True,True,True,formatting or local refactor
gpt-5.6-sol,h11_receive_buffer__access_reordering__normal,h11,re13_h11_ReceiveBuffer,normal,expected_access_sensitive,preserved,True,True,True,temporary binding
gpt-5.6-sol,h11_receive_buffer__access_reordering__warned,h11,re13_h11_ReceiveBuffer,warned,expected_access_sensitive,preserved,True,True,True,unchanged
gpt-5.6-sol,boltons_spooled_string_io__access_reordering__normal,boltons,bs15_boltons_SpooledStringIO,normal,expected_access_sensitive,preserved,True,True,True,formatting or local refactor
gpt-5.6-sol,boltons_spooled_string_io__access_reordering__warned,boltons,bs15_boltons_SpooledStringIO,warned,expected_access_sensitive,preserved,True,True,True,unchanged
gpt-5.6-sol,boltons_spooled_bytes_io__access_reordering__normal,boltons,ext02_boltons_SpooledBytesIO,normal,expected_access_sensitive,preserved,True,True,True,formatting or local refactor
gpt-5.6-sol,boltons_spooled_bytes_io__access_reordering__warned,boltons,ext02_boltons_SpooledBytesIO,warned,expected_access_sensitive,preserved,True,True,True,temporary binding
gpt-5.6-sol,dnspython_tokenizer_concat__access_reordering__normal,dnspython,ext07_dnspython_Tokenizer_concat,normal,expected_access_sensitive,preserved,True,True,True,formatting or local refactor
gpt-5.6-sol,dnspython_tokenizer_concat__access_reordering__warned,dnspython,ext07_dnspython_Tokenizer_concat,warned,expected_access_sensitive,preserved,True,True,True,formatting or local refactor
gpt-5.6-sol,boltons_lru_pair2__repeated_access_cleanup__normal,boltons,ext08_boltons_LRU_pair2,normal,expected_access_sensitive,preserved,True,True,True,unchanged
gpt-5.6-sol,boltons_lru_pair2__repeated_access_cleanup__warned,boltons,ext08_boltons_LRU_pair2,warned,expected_access_sensitive,preserved,True,True,True,unchanged
gpt-5.6-terra,boltons_lri_stats__repeated_access_cleanup__normal,boltons,re07_boltons_LRI,normal,expected_access_sensitive,preserved,True,True,True,unchanged
gpt-5.6-terra,boltons_lri_stats__repeated_access_cleanup__warned,boltons,re07_boltons_LRI,warned,expected_access_sensitive,preserved,True,True,True,unchanged
gpt-5.6-terra,boltons_multifile_reader__access_reordering__normal,boltons,re09_boltons_MultiFileReader,normal,expected_access_sensitive,preserved,True,True,True,temporary binding
gpt-5.6-terra,boltons_multifile_reader__access_reordering__warned,boltons,re09_boltons_MultiFileReader,warned,expected_access_sensitive,preserved,True,True,True,unchanged
gpt-5.6-terra,h11_receive_buffer__access_reordering__normal,h11,re13_h11_ReceiveBuffer,normal,expected_access_sensitive,preserved,True,True,True,formatting or local refactor
gpt-5.6-terra,h11_receive_buffer__access_reordering__warned,h11,re13_h11_ReceiveBuffer,warned,expected_access_sensitive,preserved,True,True,True,formatting or local refactor
gpt-5.6-terra,boltons_spooled_string_io__access_reordering__normal,boltons,bs15_boltons_SpooledStringIO,normal,expected_access_sensitive,preserved,True,True,True,formatting or local refactor
