sweep_rank,package,version,file_path,class_name,line_start,manual_review,risk_label,mechanisms,manual_review_note,score,source_path,constructor_feasibility,import_feasibility,expected_observer_or_read_operation,expected_latent_state,expected_later_behavior,selection_reason
1,markdown,3.10.2,markdown-3.10.2\markdown\core.py,Markdown,46,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,12,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\markdown-3.10.2\markdown\core.py,simple,source_file_available,build_parser,"inlinePatterns,parser,postprocessors,preprocessors,treeprocessors",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 observer/repr/logging/debug-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
2,more-itertools,11.0.2,more_itertools-11.0.2\more_itertools\more.py,seekable,2917,likely true positive,HIGH,P1_access_sensitive; P2_observation_mutates,source review found state mutation on a method/property/call path that returns a value or access handle,12,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\more-itertools-11.0.2\more_itertools\more.py,requires_args,source_file_available,__next__,_index,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +3 HIGH; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 source import path available
3,pygments,2.20.0,pygments-2.20.0\pygments\formatters\terminal256.py,EscapeSequence,34,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,12,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\pygments-2.20.0\pygments\formatters\terminal256.py,simple,source_file_available,color_string,bold,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 observer/repr/logging/debug-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
4,docutils,0.22.4,docutils-0.22.4\docutils\transforms\__init__.py,Transformer,65,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,11,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\transforms\__init__.py,requires_args,source_file_available,get_priority_string,serialno,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 observer/repr/logging/debug-like mutation; +2 later/cache/branch/composition hint; +1 source import path available
5,soupsieve,2.8.3,soupsieve-2.8.3\soupsieve\css_match.py,CSSMatch,544,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,11,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\soupsieve-2.8.3\soupsieve\css_match.py,requires_args,source_file_available,match_selectors,"iframe_restrict,namespaces",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 observer/repr/logging/debug-like mutation; +2 later/cache/branch/composition hint; +1 source import path available
6,anyio,4.13.0,anyio-4.13.0\src\anyio\_backends\_asyncio.py,CancelScope,389,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\anyio-4.13.0\anyio\_backends\_asyncio.py,simple,source_file_available,__enter__,"_active,_host_task,_parent_scope",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
7,anyio,4.13.0,anyio-4.13.0\src\anyio\_backends\_asyncio.py,Runner,128,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\anyio-4.13.0\anyio\_backends\_asyncio.py,simple,source_file_available,run,_interrupt_count,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
8,anyio,4.13.0,anyio-4.13.0\src\anyio\_core\_contextmanagers.py,ContextManagerMixin,23,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\anyio-4.13.0\anyio\_core\_contextmanagers.py,simple,source_file_available,__enter__,__cm,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
9,anyio,4.13.0,anyio-4.13.0\src\anyio\from_thread.py,BlockingPortalProvider,443,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\anyio-4.13.0\anyio\from_thread.py,simple,source_file_available,__enter__,"_leases,_portal,_portal_cm",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
10,beautifulsoup4,4.14.3,beautifulsoup4-4.14.3\bs4\builder\_html5lib.py,HTML5TreeBuilder,59,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\beautifulsoup4-4.14.3\bs4\builder\_html5lib.py,simple,source_file_available,create_treebuilder,underlying_builder,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
11,beautifulsoup4,4.14.3,beautifulsoup4-4.14.3\bs4\element.py,PageElement,352,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\beautifulsoup4-4.14.3\bs4\element.py,simple,source_file_available,extract,"next_sibling,parent,previous_element,previous_sibling",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
12,boltons,25.0.0,boltons-25.0.0\boltons\cacheutils.py,LRI,94,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\boltons-25.0.0\boltons\cacheutils.py,simple,source_file_available,_set_key_and_evict_last_in_ll,_anchor,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
13,boltons,25.0.0,boltons-25.0.0\boltons\cacheutils.py,LRU,332,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\boltons-25.0.0\boltons\cacheutils.py,simple,source_file_available,__getitem__,"hit_count,miss_count",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
14,boltons,25.0.0,boltons-25.0.0\boltons\ioutils.py,MultiFileReader,525,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\boltons-25.0.0\boltons\ioutils.py,simple,source_file_available,read,_index,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
