review_id,package,version,file,class,analyzer_label,short_reason,code_excerpt,suspected_pattern,manual_label_blank,reviewer_note_blank
EXP-0001,sympy,1.14.0,sympy-1.14.0\sympy\logic\algorithms\lra_theory.py,LRASolver,MEDIUM,method assert_lit() (line 373): mutates self.{is_sat} and returns a value derived from self state,"138:
139: # if true ~Q.gt(x, y) implies Q.le(x, y)
140: HANDLE_NEGATION = True
141:
142: class LRASolver():
143:     """"""
144:     Linear Arithmetic Solver for DPLL(T) implemented with an algorithm based on
145:     the Dual Simplex method. Uses Bland's pivoting rule to avoid cycling.
146:",state_mutating_reader,,
EXP-0002,hypothesis,6.155.7,hypothesis-6.155.7\src\hypothesis\strategies\_internal\lazy.py,LazyStrategy,MEDIUM,method wrapped_strategy() (line 107): mutates self.{__wrapped_strategy} and returns a value derived from self state,"62:             threadlocal.unwrap_cache.clear()
63:         assert threadlocal.unwrap_depth >= 0
64:
65:
66: class LazyStrategy(SearchStrategy[Ex]):
67:     """"""A strategy which is defined purely by conversion to and from another
68:     strategy.
69:
70:     Its parameter and distribution come from that other strategy.",state_mutating_reader,,
EXP-0003,sympy,1.14.0,sympy-1.14.0\sympy\physics\mechanics\kane.py,KanesMethod,MEDIUM,"method _form_fr() (line 405): mutates self.{_forcelist,_fr} and returns a value derived from self state","15:
16: __all__ = ['KanesMethod']
17:
18:
19: class KanesMethod(_Methods):
20:     r""""""Kane's method object.
21:
22:     Explanation
23:     ===========",state_mutating_reader,,
EXP-0004,coverage,7.15.0,coverage-7.15.0\coverage\sysmon.py,SysMonitor,MEDIUM,method sysmon_py_start() (line 320): mutates self.{_activity} and returns a value derived from self state,"187:     # to another offset.
188:     always_jumps: dict[TOffset, TOffset]
189:
190:
191: class SysMonitor(Tracer):
192:     """"""Python implementation of the raw data tracer for PEP669 implementations.""""""
193:
194:     # One of these will be used across threads. Be careful.
195:",state_mutating_reader,,
EXP-0005,virtualenv,21.5.1,virtualenv-21.5.1\src\virtualenv\create\creator.py,Creator,MEDIUM,method debug() (line 248): mutates self.{_debug} and returns a value derived from self state,"38:     def __init__(self) -> None:
39:         self.error = None
40:
41:
42: class Creator(ABC):
43:     """"""A class that given a python Interpreter creates a virtual environment.""""""
44:
45:     def __init__(self, options: VirtualEnvOptions, interpreter: PythonInfo) -> None:
46:         """"""Construct a new virtual environment creator.",state_mutating_reader,,
EXP-0006,hypothesis,6.155.7,hypothesis-6.155.7\src\hypothesis\internal\conjecture\shrinking\choicetree.py,Chooser,MEDIUM,method finish() (line 95): mutates self.{__finished} and returns a value derived from self state,"46:
47:     return selection_order
48:
49:
50: class Chooser:
51:     """"""A source of nondeterminism for use in shrink passes.""""""
52:
53:     def __init__(
54:         self,",state_mutating_reader,,
EXP-0007,jedi,0.20.0,jedi-0.20.0\jedi\inference\utils.py,PushBackIterator,MEDIUM,method __next__() (line 84): mutates self.{current} and returns a value derived from self state,"69:             raise UncaughtAttributeError(e) from e
70:     return wrapper
71:
72:
73: class PushBackIterator:
74:     def __init__(self, iterator):
75:         self.pushes = []
76:         self.iterator = iterator
77:",state_mutating_reader,,
EXP-0008,httpx,0.28.1,httpx-0.28.1\httpx\_models.py,Headers,MEDIUM,method encoding() (line 167): mutates self.{_encoding} and returns a value derived from self state,"135:             v = to_bytes_or_str(""[secure]"", match_type_of=v)
136:         yield k, v
137:
138:
139: class Headers(typing.MutableMapping[str, str]):
140:     """"""
141:     HTTP headers, as a case-insensitive multi-dict.
142:     """"""
143:",state_mutating_reader,,
EXP-0009,tox,4.56.1,tox-4.56.1\src\tox\tox_env\python\pip\req_file.py,PythonDeps,MEDIUM,method _req_parser() (line 51): mutates self.{_req_parser_} and returns a value derived from self state,"20:     from pathlib import Path
21:     from typing import Final
22:
23:
24: class PythonDeps(RequirementsFile):
25:     # these options are valid in requirements.txt, but not via pip cli and
26:     # thus cannot be used in the testenv `deps` list
27:     _illegal_options: Final[list[str]] = [""hash""]
28:",state_mutating_reader,,
EXP-0010,PyYAML,6.0.3,yaml\representer.py,BaseRepresenter,MEDIUM,method represent_data() (line 33): mutates self.{alias_key} and returns a value derived from self state,"9:
10: class RepresenterError(YAMLError):
11:     pass
12:
13: class BaseRepresenter:
14:
15:     yaml_representers = {}
16:     yaml_multi_representers = {}
17:",state_mutating_reader,,
